tranche_horaire;consommation;gaz cogénérations;hydraulique;éolien onshore;solaire;biomasse;annee
0;0.00012855;0.505113636;0.376150235;0.714786868;-0.000117275;0.5845;2018
1;0.00012172;0.505815508;0.403051643;0.705586444;-0.000117275;0.559;2018
2;0.000120421;0.511196524;0.388732394;0.698371724;-0.000117275;0.5555;2018
3;0.000115092;0.514237968;0.350751174;0.681758009;-0.000117275;0.5515;2018
4;0.000109803;0.51072861;0.30713615;0.663092401;-0.000117275;0.551;2018
5;0.000106474;0.51236631;0.282394366;0.650781043;-0.000117275;0.5465;2018
6;0.00010673;0.507921123;0.281032864;0.651310564;-0.000117275;0.544;2018
7;0.000107632;0.508856952;0.302441315;0.653362457;-0.000117275;0.5455;2018
8;0.000108225;0.512834225;0.312629108;0.652700556;-0.000117275;0.5455;2018
9;0.000107327;0.515173797;0.33741784;0.639661107;0.013721121;0.5435;2018
10;0.000110398;0.514237968;0.342676056;0.618083135;0.089832297;0.5375;2018
11;0.000114947;0.517279412;0.32028169;0.61503839;0.162777061;0.5395;2018
12;0.000120227;0.514237968;0.32713615;0.631056394;0.183886478;0.54;2018
13;0.000125479;0.513536096;0.367558685;0.622782632;0.168054415;0.5355;2018
14;0.000120471;0.513770053;0.372206573;0.586113317;0.127477425;0.538;2018
15;0.000115758;0.511898396;0.391032864;0.548782102;0.093936906;0.5395;2018
16;0.000114928;0.516109626;0.377840376;0.576979084;0.033540518;0.5425;2018
17;0.000117148;0.518683155;0.363004695;0.651442944;0.0064501;0.5375;2018
18;0.000126803;0.521490642;0.404600939;0.679375165;-0.000117275;0.537;2018
19;0.000132116;0.521022727;0.459014085;0.679308975;-0.000117275;0.5345;2018
20;0.000131411;0.525467914;0.494694836;0.672689966;-0.000117275;0.5325;2018
21;0.00012718;0.527105615;0.379859155;0.667924279;-0.000117275;0.5335;2018
22;0.000122787;0.526871658;0.339624413;0.659319566;-0.000117275;0.533;2018
23;0.000129016;0.526169786;0.406948357;0.624702145;-0.000117275;0.5325;2018
24;0.000127209;0.531550802;0.383849765;0.617288854;-0.000117275;0.537;2018
25;0.00011837;0.560561497;0.345492958;0.596372783;-0.000117275;0.5335;2018
26;0.000116679;0.560561497;0.323098592;0.571683876;-0.000117275;0.5345;2018
27;0.000112196;0.560093583;0.325962441;0.543950225;-0.000117275;0.5425;2018
28;0.000108492;0.557987968;0.316760563;0.500926661;-0.000117275;0.532;2018
29;0.000108976;0.55868984;0.318685446;0.465316389;-0.000117275;0.5295;2018
30;0.000115474;0.556818182;0.330610329;0.42560233;-0.000117275;0.5245;2018
31;0.000125262;0.561263369;0.442253521;0.365898862;-0.000117275;0.5165;2018
32;0.000133129;0.567112299;0.444225352;0.325853852;-0.000117275;0.519;2018
33;0.000136759;0.566878342;0.401549296;0.30427588;0.01266565;0.516;2018
34;0.00014087;0.566644385;0.423239437;0.299179243;0.067550135;0.514;2018
35;0.000142858;0.565240642;0.467981221;0.281175536;0.093819632;0.514;2018
36;0.000146103;0.564070856;0.521784038;0.27687318;0.121613698;0.523;2018
37;0.000148334;0.567346257;0.552816901;0.293685465;0.132285681;0.5255;2018
38;0.000144113;0.564304813;0.50629108;0.319499603;0.126187405;0.523;2018
39;0.00013997;0.563368984;0.456807512;0.379070691;0.083264923;0.5245;2018
40;0.00013813;0.562199198;0.453521127;0.458763569;0.03565146;0.524;2018
41;0.000138896;0.567346257;0.460704225;0.525615568;0.003166413;0.522;2018
42;0.000146145;0.570153743;0.501079812;0.564932486;-0.000117275;0.547;2018
43;0.000150229;0.574131016;0.476338028;0.583134763;-0.000117275;0.5365;2018
44;0.000144851;0.574364973;0.479107981;0.612258406;-0.000117275;0.5395;2018
45;0.00013593;0.573195187;0.36943662;0.644956315;-0.000117275;0.5335;2018
46;0.000129226;0.574832888;0.351314554;0.672557585;-0.000117275;0.5385;2018
47;0.000134212;0.574131016;0.414084507;0.687781308;-0.000117275;0.5405;2018
48;0.00013254;0.566176471;0.367934272;0.717500662;-0.000117275;0.5455;2018
49;0.000122599;0.555882353;0.370328638;0.73001059;-0.000117275;0.537;2018
50;0.000119071;0.550735294;0.357652582;0.731996293;-0.000117275;0.5365;2018
51;0.00011367;0.548863636;0.338920188;0.69605507;-0.000117275;0.53;2018
52;0.000109001;0.545354278;0.33314554;0.662893831;-0.000117275;0.5195;2018
53;0.000108858;0.543950535;0.316995305;0.637344453;-0.000117275;0.535;2018
54;0.000115561;0.538803476;0.344366197;0.600211808;-0.000117275;0.525;2018
55;0.000126173;0.532720588;0.364835681;0.573669579;-0.000117275;0.504;2018
56;0.000134965;0.530381016;0.392535211;0.590415674;-0.000117275;0.496;2018
57;0.000138917;0.534826203;0.419389671;0.584392375;0.002462765;0.493;2018
58;0.00014184;0.53342246;0.466666667;0.633968758;0.038700598;0.497;2018
59;0.000143337;0.528509358;0.444835681;0.656274821;0.091122317;0.4965;2018
60;0.000145653;0.533656417;0.503098592;0.6691157;0.129471092;0.5085;2018
61;0.000146788;0.543716578;0.488638498;0.681228488;0.14776592;0.51;2018
62;0.000144115;0.542780749;0.44600939;0.6891713;0.125014659;0.516;2018
63;0.000141205;0.546991979;0.438967136;0.696650781;0.090184121;0.52;2018
64;0.00013914;0.55190508;0.407042254;0.696584591;0.038114225;0.522;2018
65;0.000139829;0.556584225;0.417699531;0.679507546;0.004573707;0.521;2018
66;0.000148105;0.558455882;0.520375587;0.678911835;-0.000117275;0.533;2018
67;0.000152525;0.560795455;0.594131455;0.678514694;-0.000117275;0.5305;2018
68;0.000147396;0.561263369;0.51943662;0.635623511;-0.000117275;0.5355;2018
69;0.00013763;0.562667112;0.403802817;0.593526608;-0.000117275;0.529;2018
70;0.000131504;0.562433155;0.385070423;0.587039979;-0.000117275;0.5365;2018
71;0.00013715;0.561263369;0.411924883;0.576383373;-0.000117275;0.54;2018
72;0.000134778;0.559859626;0.386525822;0.57433148;-0.000117275;0.5435;2018
73;0.000124673;0.558221925;0.365399061;0.524821287;-0.000117275;0.546;2018
74;0.000121348;0.554712567;0.38657277;0.495101933;-0.000117275;0.5495;2018
75;0.000115784;0.558221925;0.373051643;0.473656341;-0.000117275;0.5535;2018
76;0.000111149;0.558455882;0.370234742;0.460881652;-0.000117275;0.55;2018
77;0.00011081;0.552840909;0.385539906;0.435332274;-0.000117275;0.5515;2018
78;0.000117029;0.555414439;0.378028169;0.444863648;0;0.545;2018
79;0.000127346;0.553308824;0.398638498;0.478223458;-0.000117275;0.549;2018
80;0.000135905;0.560561497;0.438309859;0.528130792;-0.000117275;0.5505;2018
81;0.000138633;0.557286096;0.436244131;0.586179508;0.004808256;0.546;2018
82;0.000140582;0.554946524;0.471596244;0.649126291;0.044916149;0.54;2018
83;0.000142147;0.557052139;0.505586854;0.701284088;0.098979712;0.5385;2018
84;0.000144696;0.561263369;0.515539906;0.715514959;0.135334819;0.5375;2018
85;0.000145297;0.566878342;0.512629108;0.728620598;0.140377624;0.548;2018
86;0.000141661;0.563602941;0.496807512;0.717103521;0.14260584;0.536;2018
87;0.000138044;0.558923797;0.489577465;0.715316389;0.085610414;0.5425;2018
88;0.000135716;0.563135027;0.483474178;0.710815462;0.038935147;0.5505;2018
89;0.000135735;0.575066845;0.468309859;0.696783161;0.006215551;0.5425;2018
90;0.000143217;0.582085561;0.498450704;0.686258936;-0.000117275;0.536;2018
91;0.000147825;0.582085561;0.545915493;0.678183744;-0.000117275;0.542;2018
92;0.000143398;0.587466578;0.450422535;0.654752449;-0.000117275;0.552;2018
93;0.000133489;0.587466578;0.383802817;0.611000794;-0.000117275;0.559;2018
94;0.000127159;0.586998663;0.390751174;0.555070162;-0.000117275;0.566;2018
95;0.000132461;0.584893048;0.447981221;0.524755097;-0.000117275;0.5575;2018
96;0.00013115;0.583957219;0.404084507;0.511517077;-0.000117275;0.5585;2018
97;0.000120608;0.58559492;0.37370892;0.525946518;-0.000117275;0.5545;2018
98;0.00011776;0.583255348;0.378591549;0.54759068;-0.000117275;0.5435;2018
99;0.000112698;0.582319519;0.385774648;0.546465449;-0.000117275;0.544;2018
100;0.000108793;0.582319519;0.379671362;0.503375695;-0.000117275;0.541;2018
101;0.000108766;0.58138369;0.385915493;0.463661636;-0.000117275;0.533;2018
102;0.000115458;0.579278075;0.36600939;0.424808049;-0.000117275;0.5325;2018
103;0.000126133;0.579278075;0.365492958;0.391448239;-0.000117275;0.5345;2018
104;0.000135499;0.586062834;0.444037559;0.352925602;-0.000117275;0.531;2018
105;0.000138728;0.58302139;0.504647887;0.312152502;0.012079278;0.5185;2018
106;0.000140364;0.582553476;0.565962441;0.299245433;0.07130292;0.519;2018
107;0.000141117;0.583255348;0.498262911;0.301429706;0.13639029;0.5225;2018
108;0.000142481;0.583255348;0.48056338;0.333068573;0.180368242;0.529;2018
109;0.000142595;0.586530749;0.426901408;0.355242256;0.195731207;0.5315;2018
110;0.000138235;0.584659091;0.404507042;0.392507281;0.176615457;0.535;2018
111;0.000134587;0.584893048;0.395211268;0.376555467;0.131464759;0.538;2018
