annee;tranche_horaire;Loire-Atlantique;Cote d Armor;Calvados;Seine-Maritime;Somme;Nord;Charante Maritime;Gironde;Herault;Bouches-du-Rhone
2017;0;0.03;0.325;0.494;0.516;0.32;0.408;0.005;0.018;0.026;0.103
2017;1;0.035;0.341;0.497;0.518;0.34;0.407;0.004;0.014;0.028;0.082
2017;2;0.039;0.327;0.507;0.529;0.358;0.42;0.003;0.012;0.031;0.055
2017;3;0.049;0.333;0.523;0.535;0.367;0.442;0.003;0.012;0.035;0.027
2017;4;0.09;0.346;0.545;0.54;0.364;0.479;0.004;0.019;0.037;0.012
2017;5;0.168;0.376;0.583;0.574;0.38;0.495;0.011;0.037;0.042;0.008
2017;6;0.25;0.412;0.619;0.621;0.401;0.494;0.031;0.068;0.051;0.008
2017;7;0.332;0.459;0.666;0.668;0.425;0.483;0.057;0.101;0.06;0.011
2017;8;0.405;0.494;0.69;0.688;0.446;0.485;0.073;0.126;0.067;0.019
2017;9;0.457;0.513;0.716;0.714;0.454;0.495;0.087;0.14;0.033;0.031
2017;10;0.481;0.525;0.72;0.728;0.466;0.51;0.108;0.144;0.007;0.058
2017;11;0.491;0.54;0.698;0.709;0.447;0.529;0.126;0.142;0.001;0.086
2017;12;0.491;0.55;0.672;0.683;0.442;0.528;0.144;0.139;0.001;0.103
2017;13;0.501;0.502;0.661;0.669;0.424;0.523;0.157;0.138;0.004;0.112
2017;14;0.484;0.398;0.638;0.655;0.408;0.508;0.17;0.142;0.008;0.12
2017;15;0.454;0.385;0.669;0.672;0.414;0.498;0.186;0.15;0.018;0.13
2017;16;0.406;0.408;0.72;0.7;0.436;0.482;0.195;0.16;0.021;0.135
2017;17;0.358;0.372;0.727;0.685;0.431;0.45;0.196;0.17;0.019;0.14
2017;18;0.337;0.332;0.718;0.669;0.41;0.401;0.206;0.2;0.017;0.146
2017;19;0.343;0.303;0.69;0.633;0.368;0.314;0.227;0.248;0.017;0.142
2017;20;0.358;0.279;0.647;0.561;0.31;0.237;0.25;0.308;0.022;0.128
