Annee;Source;Bilan_electrique(TWh);Parc_installe(GW);FC(%);Consommation;Solde_echange;Taux_utilisation_moy
2012;nucleaire;404.371805;63.1;0.729556918;486.666217;45.980276;0.72
2012;Thermique;47.025542;27.8565534;0.192182616;486.666217;45.980276;0.2
2012;charbon;17.424934;7.958082329;0.249270214;486.666217;45.980276;0.25
2012;gaz;25.051967;9.54642607;0.298750534;486.666217;45.980276;0.28
2012;fioul;4.548641;10.352045;0.050022246;486.666217;45.980276;0.05
2012;EnR;94.73265923;35.78077851;0.301409971;486.666217;45.980276;0.28
2012;hydraulique;63.410578;20.9;0.345400609;486.666217;45.980276;0.35
2012;STEP;6.816885;4.3;0.18047838;486.666217;45.980276;0.19
2012;eolien on;14.89553816;6.749319515;0.251248735;486.666217;45.980276;0.23
2012;photovoltaique;3.771853074;2.548798003;0.168471725;486.666217;45.980276;0.15
2012;biomasse;5.837805;1.282660992;0.518137911;486.666217;45.980276;0.54
2013;nucleaire;403.254567;63.1;0.729534491;492.2;48.9;0.72
2013;Thermique;43.666088;27.84526277;0.179014768;492.2;48.9;0.2
2013;charbon;19.682259;7.92625;0.283467367;492.2;48.9;0.25
2013;gaz;20.004586;10.52970796;0.216874822;492.2;48.9;0.28
2013;fioul;3.979243;9.389304813;0.048379672;492.2;48.9;0.05
2013;EnR;108.7123187;37.68090953;0.329346669;492.2;48.9;0.28
2013;hydraulique;74.789771;20.9;0.408499765;492.2;48.9;0.35
2013;STEP;7.258081;4.3;0.192685595;492.2;48.9;0.19
2013;eolien on;15.91330137;7.51199262;0.241824907;492.2;48.9;0.23
2013;photovoltaique;4.547631346;3.578512397;0.145070337;492.2;48.9;0.15
2013;biomasse;6.203534;1.390404516;0.509323707;492.2;48.9;0.54
2014;nucleaire;415.236418;63.1;0.751211055;462.3;67.8;0.72
2014;Thermique;24.959562;25.576;0.111403858;462.3;67.8;0.2
2014;charbon;8.304952;6.341;0.14951173;462.3;67.8;0.25
2014;gaz;14.268459;10.456;0.155778455;462.3;67.8;0.28
2014;fioul;2.386151;8.779;0.031027642;462.3;67.8;0.05
2014;EnR;106.038138;39.151;0.309182659;462.3;67.8;0.28
2014;hydraulique;67.564395;20.9;0.369034951;462.3;67.8;0.35
2014;STEP;8.083206;4.3;0.214590793;462.3;67.8;0.19
2014;eolien on;17.059582;8.143;0.239155209;462.3;67.8;0.23
2014;photovoltaique;5.819564;4.33;0.153425818;462.3;67.8;0.15
2014;biomasse;7.511391;1.478;0.580152047;462.3;67.8;0.54
2015;nucleaire;416.196912;63.1;0.752948701;473.1;64.5;0.72
2015;Thermique;33.367593;22.4;0.17004848;473.1;64.5;0.2
2015;charbon;8.592346;4.2;0.233538432;473.1;64.5;0.25
2015;gaz;22.120765;11.2;0.225464418;473.1;64.5;0.28
2015;fioul;2.654482;7;0.043289008;473.1;64.5;0.05
2015;EnR;102.016708;41.3;0.281979248;473.1;64.5;0.28
2015;hydraulique;58.736465;20.9;0.320817029;473.1;64.5;0.35
2015;STEP;6.983019;4.3;0.185383323;473.1;64.5;0.19
2015;eolien on;21.092415;9.2;0.261718471;473.1;64.5;0.23
2015;photovoltaique;7.286958;5.2;0.1599701;473.1;64.5;0.15
2015;biomasse;7.917851;1.7;0.531684864;473.1;64.5;0.54
2016;nucleaire;384;63.1;0.692802647;481;42.2;0.72
2016;Thermique;44.6;20.4;0.248892818;481;42.2;0.2
2016;charbon;7.1;2.9;0.27871993;481;42.2;0.25
2016;gaz;35;11.3;0.352612151;481;42.2;0.28
2016;fioul;2.5;4.4;0.064683722;481;42.2;0.05
2016;EnR;101.4;45.8;0.252046198;481;42.2;0.28
2016;hydraulique;63.223526;21.3;0.337914465;481;42.2;0.35
2016;STEP;5.9;4.2;0.159922803;481;42.2;0.19
2016;eolien on;20.797982;11.7;0.202368545;481;42.2;0.23
2016;photovoltaique;8.240411;6.7;0.140017314;481;42.2;0.15
2016;biomasse;8.7;1.9;0.521282715;481;42.2;0.54
2017;nucleaire;378.755617;63.1;0.685213036;479;40.9;0.72
2017;Thermique;52.724246;18.9362685;0.317842427;479;40.9;0.2
2017;charbon;9.710714;2.9;0.382251378;479;40.9;0.25
2017;gaz;39.53914;11.93614931;0.378145442;479;40.9;0.28
2017;fioul;3.474392;4.10011919;0.096733796;479;40.9;0.05
2017;EnR;102.8814802;48.6601153;0.241357036;479;40.9;0.28
2017;hydraulique;53.148133;21.3;0.284842182;479;40.9;0.35
2017;STEP;7.205268;4.2;0.1958379;479;40.9;0.19
2017;eolien on;24.09384088;13.58633094;0.202441591;479;40.9;0.23
2017;photovoltaique;8.993849309;7.654398564;0.134131391;479;40.9;0.15
2017;biomasse;9.440389;1.919385797;0.561466058;479;40.9;0.54
2018;nucleaire;392.846541;63.1;0.710705159;475.5;63.7;0.72
2018;Thermique;38.012094;18.491;0.234669847;475.5;63.7;0.2
2018;charbon;5.7326;2.9;0.225657377;475.5;63.7;0.25
2018;gaz;30.22489;12.151;0.2839544;475.5;63.7;0.28
2018;fioul;2.054604;3.44;0.068181348;475.5;63.7;0.05
2018;EnR;123.288349;51.135;0.275232472;475.5;63.7;0.28
2018;hydraulique;67.547424;21.3;0.362013763;475.5;63.7;0.35
2018;STEP;7.481065;4.2;0.203334013;475.5;63.7;0.19
2018;eolien on;28.131471;15.108;0.212559911;475.5;63.7;0.23
2018;photovoltaique;10.58031;8.527;0.141643948;475.5;63.7;0.15
2018;biomasse;9.548079;2;0.544981678;475.5;63.7;0.54
