Date;Heures;effacement nécessaire;Total éolien OffShore;Consommation;nucléaire base;nucléaire flexible;hydraulique;solaire;éolien onshore;biomasse;charbon;gaz - cogénérations;gaz - cycles combinés + turbines à combustion;pétrole;importations;exportations;soldes échanges;step décharge;step charge;59;80;76;14;22;44;17;33;34;85;effacement potentiel solaire;effacement potentiel éolien terrestre;effacement potentiel éolien marin
1/1;00:00;-11538.6;3675.8;62103.0;28776.1;5726.7;7148.6;0.0;43968.0;2396.5;0.0;2222.5;4260.0;1190.0;0.0;14000.0;14000.0;0.0;4200.0;782.8;601.7;739.8;708.1;598.9;44.8;6.3;19.2;29.5;144.7;0;11538.60612;0
1/1;01:00;-9281.5;3722.9;58803.1;28482.1;5726.7;7659.8;0.0;43402.1;2291.9;0.0;2225.6;1420.0;680.0;0.0;16800.0;16800.0;0.0;4200.0;780.9;639.3;742.7;712.4;628.4;52.3;5.1;14.9;31.7;115.2;0;9281.470413;0
1/1;02:00;-2336.1;3754.0;58175.3;28188.2;3515.4;7387.7;0.0;42958.3;2277.6;0.0;2249.3;0.0;170.0;0.0;19600.0;19600.0;0.0;4200.0;805.8;673.2;758.5;726.7;602.6;58.3;3.8;12.8;35.1;77.3;0;2336.097631;0
1/1;03:00;-208.1;3835.9;55600.8;27894.3;3515.4;6665.9;0.0;41936.3;2261.2;0.0;2262.6;0.0;85.0;0.0;22400.0;22400.0;0.0;4200.0;848.0;690.1;767.1;749.7;613.7;73.2;3.8;12.8;39.7;37.9;0;208.0590555;0
1/1;04:00;0.0;4015.1;53045.7;27600.4;1304.1;5837.0;0.0;40788.2;2259.1;0.0;2247.2;0.0;85.0;0.0;22400.0;22400.0;0.0;2933.6;919.0;684.4;774.2;781.2;637.6;134.5;5.1;20.2;41.9;16.9;0;0.000106454;0
1/1;05:00;0.0;4379.1;51437.4;27306.4;1304.1;5366.8;0.0;40030.9;2240.7;0.0;2254.4;0.0;85.0;0.0;22400.0;22400.0;0.0;3453.6;949.7;714.5;823.0;835.7;692.9;251.1;13.9;39.4;47.6;11.2;0;0;0
1/1;06:00;0.0;4793.1;51561.3;27012.5;1304.1;5340.9;0.0;40063.5;2230.4;0.0;2234.9;0.0;85.0;0.0;22400.0;22400.0;0.0;3418.5;947.8;754.0;890.4;887.3;759.3;373.7;39.3;72.4;57.8;11.2;0;0;0
1/1;07:00;0.0;5243.5;51997.2;26718.6;1304.1;5747.8;0.0;40189.7;2236.6;0.0;2239.0;0.0;85.0;0.0;22400.0;22400.0;0.0;3632.2;926.7;799.1;957.8;954.6;845.9;496.2;72.2;107.5;68.0;15.5;0;0;0
1/1;08:00;0.0;5589.6;52283.7;26424.6;1304.1;5941.4;0.0;40149.0;2236.6;0.0;2256.5;0.0;85.0;0.0;22400.0;22400.0;0.0;3551.3;930.5;838.6;986.4;989.0;910.4;605.4;92.5;134.1;75.9;26.7;0;1.25205E-05;0
1/1;09:00;0.0;5822.1;51849.9;26130.7;0.0;6412.5;643.7;39346.9;2228.4;0.0;2266.8;0.0;85.0;0.0;22400.0;22400.0;0.0;3000.6;949.7;853.7;1023.7;1026.3;945.4;683.1;110.3;149.0;37.4;43.5;0;0;0
1/1;10:00;0.0;5996.5;53333.2;25836.8;0.0;6512.4;4214.0;38019.6;2203.8;0.0;2262.6;0.0;85.0;0.0;22400.0;22400.0;0.0;3557.1;978.5;876.2;1043.8;1032.0;967.5;719.0;136.9;153.2;7.9;81.5;0;0;0
1/1;11:00;0.0;6034.3;55530.7;25542.8;0.0;6086.8;7635.9;37832.3;2212.0;0.0;2276.0;0.0;85.0;0.0;22400.0;22400.0;0.0;3752.3;1014.9;840.5;1016.5;1000.5;995.2;733.9;159.7;151.1;1.1;120.8;0;0;0
1/1;12:00;0.0;6010.3;58081.8;25248.9;0.0;6217.1;8626.1;38817.6;2214.0;0.0;2262.6;0.0;85.0;0.0;22400.0;22400.0;0.0;2852.1;1013.0;831.1;979.3;963.2;1013.6;733.9;182.5;147.9;1.1;144.7;0;0;0
1/1;13:00;0.0;5889.0;60618.7;25248.9;285.9;6985.3;7883.4;38308.6;2195.6;0.0;2259.6;0.0;85.0;0.0;22400.0;22400.0;0.0;0.0;1003.4;797.3;959.2;947.5;925.1;748.8;199.0;146.8;4.5;157.3;0;1.26737E-05;0
1/1;14:00;0.0;5596.5;58199.7;25248.9;2028.1;7073.6;5980.0;36053.0;2205.8;0.0;2260.6;0.0;85.0;0.0;22400.0;22400.0;0.0;0.0;974.7;767.2;939.1;914.5;733.5;723.4;215.5;151.1;9.1;168.6;0;0;0
1/1;15:00;0.0;5642.8;55922.9;25248.9;3042.7;7431.4;4406.6;33756.7;2212.0;0.0;2252.4;0.0;85.0;0.0;22400.0;22400.0;0.0;0.0;955.5;778.5;963.5;958.9;709.5;678.6;235.8;159.6;20.4;182.6;0;2.68623E-05;0
