,date_heure,date,heure,effacement_necessaire,total_eolien_offshore,consommation,nucleaire_base,nucleaire_flexible,hydraulique,solaire,eolien_onshore,bioenergies,charbon,gaz,petrole,importations,exportations,soldes_echanges,step_decharge,step_charge,thermique_decharge,thermique_charge,effacement_potentiel_solaire,effacement_potentiel_eolien_onshore,effacemet_potentiel_eolien_offshore,batterie_decharge,batterie_charge,pertes,need,stock_batteries
0,2023-01-01-00,2023-01-01,00:00,-9.094947017729282e-13,10664.0,71345.25,0.0,0.0,7543.49968208253,0.0,57234.087256274775,1169.0,0.0,399.966,100.045,0.0,10512.752995529434,10512.752995529434,8000.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,5395.452085685012,11137.247004470566,0.0
1,2023-01-01-01,2023-01-01,01:00,0.0,10733.750000000002,67554.59999999999,0.0,0.0,8082.993596516938,0.0,56497.39511266544,1118.0,0.0,399.966,100.045,0.0,10512.752995529434,10512.752995529434,6518.163995989814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5382.960709642768,6518.163995989814,0.0
2,2023-01-01-02,2023-01-01,02:00,0.0,10648.5,66833.655,0.0,0.0,7795.828415617448,0.0,55919.7013517756,1111.0,0.0,399.966,100.045,0.0,10512.752995529434,10512.752995529434,6687.330311853896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5315.963083717514,6687.330311853896,0.0
3,2023-01-01-03,2023-01-01,03:00,0.0,10791.875,63876.06,0.0,0.0,7034.134564767915,0.0,54589.41556096155,1103.0,0.0,399.966,100.045,0.0,10512.752995529434,10512.752995529434,5549.377628601039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5179.000758801063,5549.377628601039,0.0
4,2023-01-01-04,2023-01-01,04:00,0.0,11407.999999999998,60940.665,0.0,0.0,6159.45766956932,0.0,53094.83153208509,1102.0,0.0,399.966,10.0045,0.0,10512.752995529434,10512.752995529434,6472.336180847982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5050.320744115808,6472.336180847982,0.0
5,2023-01-01-05,2023-01-01,05:00,0.0,12849.500000000002,59093.07,0.0,0.0,5663.273904754832,0.0,52109.0421037107,1093.0,0.0,239.9796,1.00045,0.0,10512.752995529434,10512.752995529434,4828.686250513629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5035.8021705925885,4828.686250513629,0.0
6,2023-01-01-06,2023-01-01,06:00,0.0,14628.124999999998,59235.15,0.0,0.0,5635.969681738316,0.0,52151.441667097795,1088.0,0.0,143.98775999999998,0.10004500000000002,0.0,10512.752995529434,10512.752995529434,3397.809833969004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5154.673849418527,3397.809833969004,0.0
7,2023-01-01-07,2023-01-01,07:00,0.0,16592.75,59735.76,0.0,0.0,6065.305166035912,0.0,52315.7399051602,1091.0,0.0,86.392656,0.010004500000000003,0.0,10512.752995529434,10512.752995529434,1570.360572174195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5330.188165483728,1570.360572174195,0.0
8,2023-01-01-08,2023-01-01,08:00,0.0,18123.374999999996,60064.875,0.0,0.0,6269.616119760619,0.0,52262.74047094421,1091.0,0.0,51.835593599999996,0.053500000000000006,0.0,10512.752995529434,10512.752995529434,367.5302790310834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5445.665824949339,367.5302790310834,0.0
9,2023-01-01-09,2023-01-01,09:00,0.0,18991.374999999996,59566.485,0.0,0.0,6766.741402591371,2820.869152277512,51218.651672939406,1087.0,0.0,31.101356159999995,0.053500000000000006,0.0,10512.752995529434,10512.752995529434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3029.734171475129,5663.962774106581,-3029.734171475129,0.11652823736442805
10,2023-01-01-10,2023-01-01,10:00,0.0,19646.249999999996,61270.89,0.0,0.0,6872.192222592378,18468.25456065373,49490.87016554124,1075.0,0.0,18.660813695999995,0.053500000000000006,0.0,10512.752995529434,10512.752995529434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14954.877136785653,6689.903987311115,-14954.877136785653,0.6917158195484917
11,2023-01-01-11,2023-01-01,11:00,0.0,19975.625,63795.585,0.0,0.0,6423.084719571836,33464.67027535833,49247.072736119095,1079.0,0.0,11.196488217599997,0.053500000000000006,0.0,17875.731355816606,17875.731355816606,0.0,6400.0,0.0,6400.0,0.0,0.0,0.0,0.0,8015.388691739216,7713.997671711049,-28178.367052026388,1.0
12,2023-01-01-12,2023-01-01,12:00,-5072.088928134166,20076.375,66725.985,0.0,0.0,6560.54739277965,37804.46898698418,50529.65902813161,1080.0,0.0,6.717892930559998,0.053500000000000006,0.0,23335.731355816606,23335.731355816606,0.0,6400.0,0.0,6400.0,0.0,5072.088928134166,0.0,0.0,0.0,8124.016516875242,-23332.088928134166,1.0
13,2023-01-01-13,2023-01-01,13:00,0.0,19781.875,69640.845,0.0,0.0,7371.200561510144,34549.61990186832,49867.16614046757,1071.0,0.0,4.030735758335998,0.053500000000000006,0.0,24461.83047719874,24461.83047719874,0.0,6400.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,7885.127505262759,-13926.099121382133,1.0
14,2023-01-01-14,2023-01-01,14:00,0.0,18805.375,66861.405,0.0,0.0,7464.4115670817755,26207.56247206552,46930.99751693065,1076.0,0.0,2.418441455001599,0.053500000000000006,0.0,24461.83047719874,24461.83047719874,0.0,0.0,0.0,2129.517045612625,0.0,0.0,0.0,0.0,0.0,7034.065974721579,-2129.517045612625,1.0
15,2023-01-01-15,2023-01-01,15:00,-4.547473508864641e-13,18983.625,64245.69,0.0,0.0,7841.963159395132,19312.10433869014,43941.829539249295,1079.0,0.0,162.40484145500162,0.053500000000000006,0.0,24461.83047719874,24461.83047719874,0.0,0.0,3778.26475681871,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,6391.724658409541,3927.78475681871,1.0
16,2023-01-01-16,2023-01-01,16:00,0.0,19328.5,63785.03999999999,0.0,0.0,7577.394591376351,6895.4579277894745,46199.6053888073,1085.0,0.0,322.3912414550016,0.053500000000000006,0.0,24461.83047719874,24461.83047719874,0.0,0.0,12535.579397124839,0.0,0.0,0.0,0.0,0.0,0.0,5697.111569354241,12685.099397124839,1.0
17,2023-01-01-17,2023-01-01,17:00,1.8189894035458565e-12,18611.625,65017.14,0.0,0.0,7279.872632080013,1326.04968056948,52162.04153792669,1075.0,0.0,399.966,0.053500000000000006,0.0,24461.83047719874,24461.83047719874,8000.0,0.0,749.7694825465514,0.0,0.0,0.0,0.0,5532.583363616335,0.0,5657.990719540333,14354.852620504007,0.7872083321686024
18,2023-01-01-18,2023-01-01,18:00,0.0,18111.749999999996,70375.66500000001,0.0,0.0,8114.063931707481,0.0,54398.617565755376,1074.0,0.0,399.966,30.067000000000004,0.0,24461.83047719874,24461.83047719874,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,8313.197041701143,0.0,5747.0232048224,16341.247041701145,0.4674699844108661
19,2023-01-01-19,2023-01-01,19:00,0.0,17689.374999999996,73324.37999999999,0.0,0.0,9205.291615114646,0.0,54393.317630340935,1069.0,0.0,399.966,60.08050000000001,0.0,24461.83047719874,24461.83047719874,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,10621.40798606789,0.0,5795.085397181891,18649.45798606789,0.0589542926390242
20,2023-01-01-20,2023-01-01,20:00,0.0,17224.374999999996,72933.10500000001,0.0,0.0,9920.85074224098,0.0,53863.32336825263,1065.0,0.0,399.966,90.09400000000001,0.0,15528.96442423082,15528.96442423082,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,1532.8116086146292,0.0,5777.208437734554,18493.727661582547,0.0
21,2023-01-01-21,2023-01-01,21:00,-9.094947017729282e-13,16251.75,70584.90000000001,0.0,0.0,7617.880166892992,0.0,53481.72745791185,1067.0,0.0,399.966,100.045,0.0,12954.32973392565,12954.32973392565,8000.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,5521.99603373634,10583.93469030517,0.0
22,2023-01-01-22,2023-01-01,22:00,0.0,14934.25,68146.78499999999,0.0,0.0,6810.993090282041,0.0,52792.734813104056,1066.0,0.0,239.9796,100.045,0.0,10482.694450149074,10482.694450149074,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5314.523053237027,10471.635283776575,0.0
23,2023-01-01-23,2023-01-01,23:00,-9.094947017729282e-13,13857.000000000002,71603.88,0.0,0.0,8161.140193501428,0.0,50020.86450770108,1065.0,0.0,143.98775999999998,100.045,0.0,6753.769514975467,6753.769514975467,8000.0,0.0,0.0,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,5133.2450890841765,11728.924935173607,0.0
24,2023-01-02-00,2023-01-02,00:00,0.0,13605.125,70600.99500000001,0.0,0.0,7697.909799910012,0.0,49427.27086049636,1074.0,0.0,86.392656,10.0045,0.0,4267.100064177912,4267.100064177912,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5032.607752228447,10486.669450797555,0.0
25,2023-01-02-01,2023-01-02,01:00,0.0,13360.999999999998,65695.34999999999,0.0,0.0,6928.6837447669095,0.0,47752.48878731418,1067.0,0.0,51.835593599999996,1.00045,0.0,4267.100064177912,4267.100064177912,7784.39727219964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4841.098640845676,7784.39727219964,0.0
